repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
trandinhduc-CursorHKT_Git,0,247b658dcbb8779803ffc1b4554b5a2392ffb75b,2025-11-29T10:53:19+00:00,,293.32,1,0,1,0,0,1,0,0,Initial commit
trandinhduc-CursorHKT_Git,1,123cbda34a70ba359aa1b322187d076c57c082f7,2025-11-29T10:58:09+00:00,4.83,298.15,0,0,1,0,0,1,0,0,change
trandinhduc-CursorHKT_Git,2,f33ea78997b2201f2ac14880efdf54b0b69b1fd4,2025-11-29T10:59:58+00:00,1.82,299.97,28467,0,176,0,0,1,0,1,init
