repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
thtcsec-CursorHackathon,0,5522b9a3b517be7e531a4f7b33e6c4c3f38f526c,2025-11-29T07:36:08+00:00,,96.13,13,0,1,0,0,1,0,0,Initial commit
thtcsec-CursorHackathon,1,326012272263bd01cfe27b659d8b34f648547dd7,2025-11-29T07:42:25+00:00,6.28,102.42,581,4,1,0,0,1,0,0,UI
thtcsec-CursorHackathon,2,333d91c0b0676b24a7e40f4e321ef3c9f38eda94,2025-11-29T07:54:46+00:00,12.35,114.77,1561,590,11,0,0,1,0,1,Add readme and update UI
thtcsec-CursorHackathon,3,f4d6dc5855dbc75c88dd68a9e022c3c2195fdc5d,2025-11-29T09:34:54+00:00,100.13,214.90,1409,131,7,0,0,1,0,1,Added AI companion
thtcsec-CursorHackathon,4,04779f0697191890f4df11b1590f230eea1d3a1d,2025-11-29T10:23:20+00:00,48.43,263.33,320,161,9,0,0,1,0,0,Use hybrid model (groq available models) + gemini 2.5 flash
thtcsec-CursorHackathon,5,04d07c962a1b2720719b4e43c94f25d85790a579,2025-11-29T10:58:38+00:00,35.30,298.63,175,83,3,0,0,1,0,0,"At least it's worked, ghost guide is not done yet"
