repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
vphuocthinh2006-Smart-Resume-Analyzer,0,44a0bf758ad0fd894395e09d77b5d46335dbf135,2025-11-29T10:32:46+00:00,,272.77,1175677,0,7590,0,0,1,0,1,Finished
vphuocthinh2006-Smart-Resume-Analyzer,1,b191b1a649c41114813d4202561558c45a855c37,2025-11-29T10:43:17+00:00,10.52,283.28,3,2,1,0,0,1,0,0,Finished v2.0
vphuocthinh2006-Smart-Resume-Analyzer,2,b58972bf85e90ebdaeb61b88e9dcb7eebc179570,2025-11-29T10:44:25+00:00,1.13,284.42,4,4,3,0,0,1,0,0,Forgot to change names
vphuocthinh2006-Smart-Resume-Analyzer,3,c3262d1ff09b5c06b11b375336e7670e1dee97f8,2025-11-29T10:49:34+00:00,5.15,289.57,3,2,2,0,0,1,0,0,Fix Vercel permission issue
vphuocthinh2006-Smart-Resume-Analyzer,4,5859399cfe836c305140210ff28bc5779620ba29,2025-11-29T10:51:28+00:00,1.90,291.47,12,1,3,0,0,1,0,0,Fix Node.js version and dependencies
vphuocthinh2006-Smart-Resume-Analyzer,5,92b5f380f75cdcd3a746feb202b67cd1f0cbd4c2,2025-11-29T10:58:50+00:00,7.37,298.83,13,4239,5,0,0,1,0,0,Remove autoprefixer to fix build
vphuocthinh2006-Smart-Resume-Analyzer,6,2042d13ee49606915a6972813ea53d1b5554b6bc,2025-11-29T11:00:43+00:00,1.88,300.72,4,4,3,0,0,1,0,0,Fix Vercel build - fresh npm install
