repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
nxgiangdev-renderlandingpage,0,18a3b64522194fee8fa92fb67951c07b24c8d31b,2025-11-29T10:11:38+00:00,,251.63,573,0,1,0,0,1,0,0,first commit
nxgiangdev-renderlandingpage,1,cca4ff9783e0245b514744cff650fe00f3ae2484,2025-11-29T10:12:00+00:00,0.37,252.00,13147,0,58,0,0,1,0,1,a
nxgiangdev-renderlandingpage,2,9028f9ea1a3cfe6193e5325d19433a1b55fd9d16,2025-11-29T10:39:10+00:00,27.17,279.17,244,205,21,0,0,1,0,0,ba
nxgiangdev-renderlandingpage,3,f2c7938a287f0e47bf00c5fb52fc6b0d6bbfeaab,2025-11-29T11:29:35+00:00,50.42,329.58,166,25,8,0,0,1,0,0,fa
