repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
luubiquitous-vngcursorhck,0,4df5c52ee7a479885ddbb153c907111885ab2001,2025-11-29T07:15:21+00:00,,75.35,2,0,1,0,0,1,0,0,Initial commit
luubiquitous-vngcursorhck,1,3325bec5d944dbfe08e92a35e4a3c0b1a9484e93,2025-11-29T10:34:03+00:00,198.70,274.05,212980,2,1238,0,0,1,0,1,Add Saigon Math War - Complete implementation
luubiquitous-vngcursorhck,2,e7cb3331afe46d5a013dcc4743426125819e902c,2025-11-29T11:01:21+00:00,27.30,301.35,486,6,2,0,0,1,0,0,Add bot mode with difficulty levels and comprehensive rules page
