repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
TienDat8605-CursorHackathon,0,8b131874217ff8a4b3d407340ab7c4a555211941,2025-11-29T07:00:44+00:00,,60.73,1,0,1,0,0,1,0,0,Initial commit
TienDat8605-CursorHackathon,1,26d1254a26dc946cd4b0ccacb0e7ff70f99aa6f3,2025-11-29T07:06:47+00:00,6.05,66.78,3,1,1,0,0,1,0,0,Initial commit
TienDat8605-CursorHackathon,2,7d3ca286ab20ec7cb5b377515cde614a2a4be452,2025-11-29T10:20:36+00:00,193.82,260.60,3411,0,15,0,0,1,0,1,Initial demo
TienDat8605-CursorHackathon,3,5ac2f64bcfc25a1de4ccf789b19f456013383400,2025-11-29T10:33:39+00:00,13.05,273.65,216,0,1,0,0,1,0,0,gitignore
TienDat8605-CursorHackathon,4,62ca04d529df4652845fb3a2bcc193381ee6ef39,2025-11-29T10:33:49+00:00,0.17,273.82,1,0,3,0,0,1,0,0,new data
TienDat8605-CursorHackathon,5,ca3eed8554c99506b4f9486da16159981c886483,2025-11-29T10:36:07+00:00,2.30,276.12,12,2,1,0,0,1,0,0,fix ui
TienDat8605-CursorHackathon,6,f98e345ec05d67e5db5fedef00a1d8fd2084fae2,2025-11-29T10:50:02+00:00,13.92,290.03,44,19,1,0,0,1,0,0,fix max depth
TienDat8605-CursorHackathon,7,1fea83ead88878bf578356e034fe80b14f359e7a,2025-11-29T10:52:37+00:00,2.58,292.62,5,7,2,0,0,1,0,0,fix max depth ui
TienDat8605-CursorHackathon,8,e24b415580ac9c883e085d4d5f1b076900794855,2025-11-29T11:53:21+00:00,60.73,353.35,8,595,11,0,0,1,0,0,"Remove cached files from git: todo.txt, plan.md, update.md, __pycache__, .serena/, .python-version"
