repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
DioAnh-anhquan,0,18ecf94d3a69227fbbdf680a7e9a63520a3b019d,2025-11-29T10:00:33+00:00,,240.55,4,0,1,0,0,1,0,0,init
DioAnh-anhquan,1,4a9038e75241a4da40125675905f8409d4b3be27,2025-11-29T10:16:07+00:00,15.57,256.12,2632,2,12,0,0,1,0,1,addlogin
DioAnh-anhquan,2,6e2139cf1049c5bfc1729cb51d2e8abf7f3ae8d5,2025-11-29T10:33:16+00:00,17.15,273.27,6074,195,31,0,0,1,0,1,add
DioAnh-anhquan,3,ef09c32f62ab285cfd3ab6baa6aee1bd4ee369e9,2025-11-29T10:46:22+00:00,13.10,286.37,256,5,3,0,0,1,0,0,addlogout
DioAnh-anhquan,4,b9fcecca07d8bea6f86cb8501baf2cd9af92f783,2025-11-29T11:00:33+00:00,14.18,300.55,0,2,1,0,0,1,0,0,Update
