repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
knamnguyen-duma.so,0,46e32e39a1a26a7fcdb3f49d0435811b9dadb301,2025-11-29T06:29:51+00:00,,29.85,77561,0,325,0,0,1,0,1,Initial commit
knamnguyen-duma.so,1,d0ad78d4f29f279cc027b564b1f179c1363bf8db,2025-11-29T06:38:00+00:00,8.15,38.00,39,39,10,0,0,1,0,0,test build to deploy vercel
knamnguyen-duma.so,2,f0bf88fbb4eaf9b1d2919a4399a198ededf5d255,2025-11-29T06:43:19+00:00,5.32,43.32,26,1,3,0,0,1,0,0,add linkedin preview tool
knamnguyen-duma.so,3,f8fef7f623496e34e9a00d81a3ac576adbcc6691,2025-11-29T06:48:23+00:00,5.07,48.38,1,126,4,0,0,1,0,0,remvoe cron job
knamnguyen-duma.so,4,6b4492ef8a325c4ad80797e5f2d9331ace346ea6,2025-11-29T09:17:53+00:00,149.50,197.88,20751,7949,65,0,0,1,0,1,app functionality mockup demo
knamnguyen-duma.so,5,8ffeb1db7ee3fb21a8b09445e0fa9a8d339ead1e,2025-11-29T09:26:04+00:00,8.18,206.07,36,10,2,0,0,1,0,0,app functionality mockup demo
knamnguyen-duma.so,6,5edd0743676fa02bd0d443a14222d9e8f17380dd,2025-11-29T09:40:13+00:00,14.15,220.22,282,192,3,0,0,1,0,0,hopefully fix image fit past session
knamnguyen-duma.so,7,4ebc3485cc2edc794af41fd17008633e5fceb3af,2025-11-29T10:37:43+00:00,57.50,277.72,163,72,10,0,0,1,0,0,uiux design
