place, project
1, nvbinh15-hoggle
2, supernovalx-tinder4decision-next
3, vincenthsh-cursor-hcmc
4, billmnguyen-fretlab
5, lethanhan97-cursor-hackathon-hcmc-2025-cuso-cru
